transaction_id,vendor,amount,date
TXN10228,Vendor_059,713.44,2025-05-21
TXN10159,Vendor_026,4245.1,2025-04-24
TXN10205,Vendor_051,534.23,2025-09-28
TXN10125,Vendor_037,31181.88,2025-06-24
TXN10688,Vendor_023,4556.22,2025-04-01
TXN10887,Vendor_058,1133.34,2025-01-12
TXN10473,Vendor_008,10688.64,2025-07-05
TXN10244,Vendor_010,379.79,2025-08-30
TXN10597,Vendor_010,506.54,2025-04-09
TXN10797,Vendor_029,4385.03,2025-04-15
TXN10195,Vendor_029,2983.68,2025-06-03
TXN10202,Vendor_055,7390.62,2025-04-27
TXN10081,Vendor_020,2876.26,2025-10-20
TXN10484,Vendor_058,676.37,2025-02-23
TXN10443,Vendor_022,1610.25,2025-08-01
TXN10578,Vendor_026,264.5,2025-06-10
TXN10201,Vendor_023,3748.16,2025-04-17
TXN10186,Vendor_015,3344.96,2025-04-03
TXN10516,Vendor_019,3467.51,2025-06-22
TXN10821,Vendor_003,11295.41,2025-07-14
TXN20017,Vendor_064,9100.0,2025-01-11
TXN10216,Vendor_004,662.04,2025-03-31
TXN10050,Vendor_006,2755.38,2025-01-09
TXN10783,Vendor_005,3998.85,2025-01-08
TXN10672,Vendor_039,1158.07,2025-07-20
TXN10531,Vendor_026,208.52,2025-03-02
TXN10314,Vendor_023,9868.69,2025-06-03
TXN10200,Vendor_043,2878.78,2025-01-21
TXN10223,Vendor_056,222.18,2025-02-05
TXN10587,Vendor_034,598.96,2025-07-17
TXN20033,Vendor_061,792000.0,2025-09-25
TXN10699,Vendor_046,1421.73,2025-10-02
TXN10826,Vendor_058,14093.15,2025-04-28
TXN10233,Vendor_010,775.04,2025-05-01
TXN10584,Vendor_058,2290.27,2025-02-12
TXN20024,Vendor_061,6527.0,2025-06-15
TXN10430,Vendor_050,388.29,2025-09-23
TXN10874,Vendor_019,1731.83,2025-06-14
TXN10550,Vendor_020,2023.47,2025-06-01
TXN10608,Vendor_026,179.05,2025-03-07
TXN10207,Vendor_013,3526.01,2025-10-02
TXN10382,Vendor_032,114.31,2025-06-13
TXN20044,Vendor_065,764300.0,2025-06-06
TXN20032,Vendor_062,96760.0,2025-05-18
TXN10047,Vendor_050,7145.65,2025-05-23
TXN10521,Vendor_059,3664.21,2025-09-08
TXN10636,Vendor_019,5271.77,2025-02-01
TXN10019,Vendor_048,288.3,2025-08-02
TXN10366,Vendor_050,2419.51,2025-03-04
TXN10340,Vendor_015,620.86,2025-03-09
TXN20002,Vendor_063,9402.0,2025-10-08
TXN10675,Vendor_023,657.76,2025-05-08
TXN10306,Vendor_012,9518.23,2025-02-07
TXN10835,Vendor_011,2451.56,2025-10-21
TXN10429,Vendor_025,183.76,2025-04-29
TXN10823,Vendor_015,1128.12,2025-02-10
TXN10304,Vendor_032,1759.58,2025-06-10
TXN10355,Vendor_015,491.13,2025-03-24
TXN10177,Vendor_038,11963.24,2025-05-12
TXN10945,Vendor_038,449.84,2025-07-07
TXN10060,Vendor_026,969.78,2025-01-03
TXN10309,Vendor_033,1390.13,2025-05-31
TXN10892,Vendor_055,7234.94,2025-09-07
TXN10301,Vendor_044,872.85,2025-05-01
TXN10920,Vendor_026,7300.67,2025-04-23
TXN10594,Vendor_039,6966.04,2025-03-27
TXN10761,Vendor_008,2118.82,2025-02-12
TXN10107,Vendor_002,2268.67,2025-08-19
TXN10747,Vendor_008,677.22,2025-03-28
TXN20038,Vendor_061,71740.0,2025-06-11
TXN10806,Vendor_003,2413.36,2025-10-23
TXN10099,Vendor_048,1332.8,2025-03-28
TXN10250,Vendor_048,351.02,2025-10-20
TXN10833,Vendor_019,666.38,2025-06-06
TXN10474,Vendor_016,15343.67,2025-03-13
TXN10703,Vendor_009,289.74,2025-09-08
TXN10941,Vendor_038,5620.6,2025-01-16
TXN10383,Vendor_017,912.8,2025-07-07
TXN10680,Vendor_057,4620.11,2025-04-27
TXN10181,Vendor_019,593.3,2025-05-09
TXN10012,Vendor_003,2476.37,2025-06-30
TXN10613,Vendor_006,418.58,2025-06-16
TXN10085,Vendor_050,941.73,2025-06-26
TXN10320,Vendor_042,2051.02,2025-06-15
TXN10649,Vendor_005,4469.66,2025-08-15
TXN10710,Vendor_056,2378.73,2025-03-30
TXN10385,Vendor_021,2198.46,2025-09-13
TXN10890,Vendor_026,5253.38,2025-04-18
TXN10439,Vendor_040,1682.08,2025-07-02
TXN10135,Vendor_055,13560.48,2025-02-04
TXN10567,Vendor_006,487.6,2025-05-07
TXN10298,Vendor_028,5201.6,2025-04-25
TXN10160,Vendor_018,509.24,2025-05-25
TXN10268,Vendor_033,1020.39,2025-06-13
TXN10658,Vendor_028,2339.07,2025-09-05
TXN20046,Vendor_065,8601.0,2025-04-06
TXN10641,Vendor_030,15831.04,2025-09-26
TXN10906,Vendor_038,308.64,2025-01-13
TXN10805,Vendor_029,1209.64,2025-06-15
TXN10893,Vendor_036,8267.47,2025-04-12
TXN10389,Vendor_048,854.08,2025-09-09
TXN10121,Vendor_012,554.35,2025-01-01
TXN10837,Vendor_052,493.8,2025-07-23
TXN10187,Vendor_025,1644.72,2025-08-12
TXN10016,Vendor_007,484.6,2025-09-30
TXN10773,Vendor_011,6401.71,2025-05-27
TXN10493,Vendor_004,590.12,2025-01-20
TXN10341,Vendor_045,2481.93,2025-01-12
TXN10426,Vendor_040,515.74,2025-02-18
TXN10467,Vendor_003,4840.44,2025-07-10
TXN10106,Vendor_025,20995.04,2025-03-25
TXN10408,Vendor_019,2114.1,2025-03-10
TXN10023,Vendor_013,283.67,2025-07-28
TXN10831,Vendor_001,547.71,2025-07-12
TXN10069,Vendor_036,781.6,2025-06-22
TXN10900,Vendor_051,2919.81,2025-06-24
TXN10676,Vendor_003,426.77,2025-01-04
TXN10801,Vendor_009,924.4,2025-02-08
TXN10599,Vendor_032,2952.75,2025-10-04
TXN10643,Vendor_028,256.19,2025-04-12
TXN10339,Vendor_034,868.84,2025-01-25
TXN10701,Vendor_020,7070.68,2025-06-22
TXN10873,Vendor_024,699.1,2025-09-07
TXN10074,Vendor_022,60.0,2025-02-06
TXN10218,Vendor_031,962.01,2025-04-18
TXN10525,Vendor_004,173.06,2025-05-28
TXN10265,Vendor_032,357.05,2025-06-16
TXN10891,Vendor_044,3496.28,2025-03-11
TXN10110,Vendor_002,149.25,2025-06-12
TXN10435,Vendor_031,1990.86,2025-10-15
TXN20030,Vendor_065,823400.0,2025-02-18
TXN10632,Vendor_001,1472.31,2025-01-08
TXN10185,Vendor_058,4574.26,2025-07-18
TXN10286,Vendor_052,1484.27,2025-09-21
TXN10582,Vendor_017,4115.91,2025-06-01
TXN10899,Vendor_018,625.15,2025-04-02
TXN10459,Vendor_013,380.98,2025-09-15
TXN10415,Vendor_017,683.32,2025-05-13
TXN10061,Vendor_041,1420.33,2025-07-07
TXN10347,Vendor_029,290.12,2025-02-12
TXN10349,Vendor_023,1369.94,2025-10-14
TXN10731,Vendor_017,506.8,2025-08-04
TXN10716,Vendor_028,2097.49,2025-09-21
TXN10640,Vendor_045,1168.5,2025-01-21
TXN10804,Vendor_053,1027.78,2025-01-02
TXN10737,Vendor_022,6486.63,2025-08-20
TXN10329,Vendor_035,4092.25,2025-07-25
TXN10927,Vendor_008,2952.41,2025-07-07
TXN10134,Vendor_029,547.16,2025-01-01
TXN10787,Vendor_049,3284.38,2025-06-24
TXN10764,Vendor_049,8055.06,2025-07-11
TXN10784,Vendor_025,3743.32,2025-06-23
TXN10057,Vendor_047,1209.57,2025-09-08
TXN10825,Vendor_048,11960.92,2025-06-09
TXN10928,Vendor_009,13838.1,2025-05-07
TXN10859,Vendor_037,4116.72,2025-06-11
TXN10786,Vendor_045,5345.97,2025-08-03
TXN10291,Vendor_042,952.51,2025-06-07
TXN10046,Vendor_046,993.44,2025-05-02
TXN10277,Vendor_008,828.58,2025-08-18
TXN10841,Vendor_011,4347.1,2025-02-14
TXN10926,Vendor_013,874.28,2025-08-20
TXN10224,Vendor_020,978.96,2025-09-20
TXN10530,Vendor_039,4147.12,2025-05-17
TXN10280,Vendor_058,2095.55,2025-09-16
TXN10000,Vendor_060,3448.62,2025-01-15
TXN10817,Vendor_045,5747.5,2025-03-14
TXN10495,Vendor_054,3643.07,2025-08-15
TXN10066,Vendor_045,1646.47,2025-08-31
TXN10403,Vendor_011,1921.91,2025-09-04
TXN10563,Vendor_020,1183.43,2025-09-07
TXN10481,Vendor_041,522.07,2025-04-22
TXN10571,Vendor_048,15984.4,2025-07-18
TXN10882,Vendor_047,956.93,2025-05-20
TXN10294,Vendor_017,2875.9,2025-05-16
TXN10619,Vendor_010,2418.85,2025-01-08
TXN10743,Vendor_045,1870.42,2025-03-08
TXN10245,Vendor_005,1170.46,2025-06-24
TXN10257,Vendor_021,720.56,2025-05-26
TXN10161,Vendor_026,5030.17,2025-05-16
TXN10726,Vendor_021,1851.89,2025-09-12
TXN10605,Vendor_028,20740.31,2025-09-27
TXN20003,Vendor_062,518200.0,2025-01-10
TXN10436,Vendor_032,15020.94,2025-08-14
TXN10855,Vendor_047,860.94,2025-05-06
TXN10768,Vendor_017,800.26,2025-10-04
TXN10247,Vendor_034,773.3,2025-06-10
TXN10541,Vendor_005,416.29,2025-03-11
TXN10239,Vendor_024,5476.18,2025-01-19
TXN10220,Vendor_013,36645.87,2025-06-08
TXN20007,Vendor_063,68490.0,2025-07-23
TXN10092,Vendor_054,725.84,2025-05-05
TXN10114,Vendor_011,1408.01,2025-01-10
TXN10798,Vendor_010,1875.84,2025-09-23
TXN20029,Vendor_061,84870.0,2025-01-21
TXN10076,Vendor_003,2024.67,2025-07-21
TXN20031,Vendor_065,656400.0,2025-03-15
TXN10386,Vendor_055,2819.41,2025-04-27
TXN10132,Vendor_009,454.41,2025-10-20
TXN10863,Vendor_049,18669.4,2025-01-21
TXN20040,Vendor_064,50540.0,2025-05-06
TXN10058,Vendor_007,2781.21,2025-03-25
TXN10289,Vendor_005,804.72,2025-10-14
TXN10246,Vendor_049,975.13,2025-04-18
TXN10364,Vendor_052,4434.58,2025-05-04
TXN10871,Vendor_018,640.48,2025-04-14
TXN10040,Vendor_033,4722.09,2025-10-16
TXN10089,Vendor_002,3523.63,2025-09-19
TXN10192,Vendor_014,2388.26,2025-09-22
TXN10422,Vendor_010,1308.12,2025-02-07
TXN10068,Vendor_055,2893.22,2025-08-26
TXN10661,Vendor_052,888.1,2025-02-03
TXN10372,Vendor_022,11926.13,2025-05-13
TXN10139,Vendor_014,364.99,2025-01-12
TXN10388,Vendor_034,6220.16,2025-02-21
TXN10832,Vendor_047,490.1,2025-05-28
TXN10118,Vendor_010,7987.79,2025-09-14
TXN10579,Vendor_050,7997.47,2025-04-27
TXN10922,Vendor_007,2149.22,2025-03-08
TXN10791,Vendor_037,2368.46,2025-05-27
TXN10350,Vendor_051,2708.58,2025-01-05
TXN10811,Vendor_049,1020.81,2025-05-07
TXN10434,Vendor_053,12747.16,2025-06-09
TXN10669,Vendor_034,7472.31,2025-03-07
TXN10931,Vendor_040,20858.24,2025-01-23
TXN10948,Vendor_031,1704.01,2025-10-17
TXN10014,Vendor_015,192.02,2025-06-02
TXN10375,Vendor_038,666.77,2025-03-20
TXN10082,Vendor_004,12348.16,2025-08-08
TXN10491,Vendor_037,12381.11,2025-07-05
TXN10697,Vendor_023,355.51,2025-05-30
TXN10879,Vendor_027,8475.3,2025-04-27
TXN10936,Vendor_003,479.33,2025-07-07
TXN10088,Vendor_053,908.06,2025-08-16
TXN10363,Vendor_037,3047.95,2025-08-09
TXN10273,Vendor_060,1832.26,2025-05-10
TXN10172,Vendor_041,1635.6,2025-03-30
TXN10554,Vendor_007,2804.23,2025-06-12
TXN10103,Vendor_005,637.17,2025-02-10
TXN10754,Vendor_045,526.25,2025-08-29
TXN10673,Vendor_020,1115.58,2025-05-04
TXN10371,Vendor_007,3454.38,2025-08-17
TXN10045,Vendor_039,709.25,2025-03-31
TXN10560,Vendor_006,2635.18,2025-02-13
TXN10748,Vendor_038,816.5,2025-09-19
TXN10419,Vendor_007,1973.91,2025-01-28
TXN10604,Vendor_022,3094.76,2025-04-26
TXN10725,Vendor_046,1423.43,2025-02-19
TXN10011,Vendor_052,986.88,2025-07-18
TXN10214,Vendor_018,1200.09,2025-01-02
TXN10344,Vendor_013,980.1,2025-01-31
TXN10700,Vendor_009,916.41,2025-10-11
TXN10720,Vendor_055,2697.67,2025-01-16
TXN10147,Vendor_031,324.86,2025-07-03
TXN10299,Vendor_040,4099.08,2025-04-28
TXN10283,Vendor_002,361.71,2025-04-12
TXN10745,Vendor_024,703.83,2025-06-11
TXN10412,Vendor_057,246.08,2025-03-28
TXN10629,Vendor_027,7498.43,2025-04-24
TXN10795,Vendor_015,7108.87,2025-02-10
TXN10741,Vendor_055,342.6,2025-01-28
TXN10886,Vendor_020,3862.64,2025-02-15
TXN10735,Vendor_015,3342.17,2025-05-27
TXN10173,Vendor_048,2817.2,2025-09-26
TXN10432,Vendor_012,1273.81,2025-09-15
TXN20035,Vendor_061,61870.0,2025-04-29
TXN10226,Vendor_056,1965.62,2025-06-22
TXN10305,Vendor_053,2105.96,2025-09-29
TXN10031,Vendor_024,20089.68,2025-02-10
TXN10719,Vendor_041,1679.03,2025-04-30
TXN10483,Vendor_042,2355.49,2025-03-31
TXN10766,Vendor_009,1727.65,2025-02-06
TXN10285,Vendor_034,142.92,2025-10-13
TXN10918,Vendor_047,1011.95,2025-06-12
TXN10482,Vendor_013,223.99,2025-03-27
TXN10913,Vendor_021,14054.38,2025-07-23
TXN20027,Vendor_064,572700.0,2025-10-01
TXN10116,Vendor_014,1728.27,2025-03-21
TXN10618,Vendor_056,3378.92,2025-09-25
TXN10652,Vendor_019,1274.67,2025-03-01
TXN10704,Vendor_060,238.98,2025-05-01
TXN10095,Vendor_040,269.73,2025-01-21
TXN10261,Vendor_011,1673.41,2025-10-07
TXN10635,Vendor_004,210.33,2025-09-03
TXN10592,Vendor_002,3370.02,2025-04-08
TXN10574,Vendor_057,5314.68,2025-06-14
TXN20004,Vendor_064,84550.0,2025-05-28
TXN10102,Vendor_055,1158.02,2025-10-20
TXN10062,Vendor_042,429.13,2025-01-14
TXN10204,Vendor_036,301.58,2025-07-22
TXN10663,Vendor_057,892.07,2025-10-06
TXN10686,Vendor_033,1322.89,2025-05-14
TXN10184,Vendor_001,1352.21,2025-03-17
TXN10678,Vendor_015,6102.06,2025-07-10
TXN10733,Vendor_008,197.68,2025-03-17
TXN10091,Vendor_051,6369.26,2025-07-05
TXN10942,Vendor_002,4210.18,2025-05-25
TXN10708,Vendor_040,120.72,2025-10-13
TXN10736,Vendor_026,2522.08,2025-04-03
TXN10836,Vendor_005,13570.46,2025-06-25
TXN10730,Vendor_009,2332.27,2025-02-04
TXN10411,Vendor_013,419.04,2025-07-19
TXN10346,Vendor_018,275.2,2025-06-09
TXN10480,Vendor_027,1531.05,2025-03-07
TXN10814,Vendor_028,6914.65,2025-10-04
TXN10029,Vendor_041,1237.44,2025-09-24
TXN10054,Vendor_050,6907.06,2025-07-23
TXN10487,Vendor_057,443.19,2025-01-20
TXN10039,Vendor_060,2335.36,2025-01-02
TXN10157,Vendor_047,3347.55,2025-10-17
TXN10894,Vendor_011,10903.15,2025-08-04
TXN10146,Vendor_057,362.12,2025-02-08
TXN10221,Vendor_007,159.58,2025-08-29
TXN10684,Vendor_013,369.16,2025-07-26
TXN10772,Vendor_013,4113.91,2025-07-11
TXN10602,Vendor_015,5599.81,2025-08-20
TXN10800,Vendor_051,6122.76,2025-04-28
TXN10394,Vendor_013,8377.23,2025-04-23
TXN10052,Vendor_039,749.95,2025-08-11
TXN10622,Vendor_008,20881.77,2025-02-24
TXN10674,Vendor_001,290.1,2025-09-04
TXN10359,Vendor_016,616.83,2025-09-09
TXN10504,Vendor_003,776.01,2025-08-04
TXN10402,Vendor_021,1820.41,2025-10-11
TXN10770,Vendor_039,4537.26,2025-07-02
TXN10421,Vendor_005,17711.03,2025-01-08
TXN10448,Vendor_055,927.02,2025-02-08
TXN10165,Vendor_001,3092.13,2025-05-27
TXN10284,Vendor_017,28938.94,2025-10-18
TXN10080,Vendor_031,1358.89,2025-01-24
TXN10227,Vendor_042,445.38,2025-02-16
TXN10447,Vendor_032,532.81,2025-08-10
TXN10353,Vendor_011,1468.62,2025-06-27
TXN10310,Vendor_050,1362.42,2025-08-25
TXN10727,Vendor_021,2840.84,2025-10-03
TXN10259,Vendor_054,4949.41,2025-05-05
TXN10323,Vendor_042,27449.51,2025-06-07
TXN10009,Vendor_015,3660.4,2025-01-27
TXN10679,Vendor_021,9442.93,2025-08-15
TXN10529,Vendor_060,558.02,2025-03-16
TXN10030,Vendor_022,826.98,2025-06-28
TXN10789,Vendor_002,208.67,2025-06-10
TXN10179,Vendor_006,62082.53,2025-03-23
TXN10027,Vendor_011,2946.6,2025-08-05
TXN10033,Vendor_057,457.13,2025-02-15
TXN10334,Vendor_036,6423.1,2025-04-05
TXN10361,Vendor_004,13260.71,2025-04-13
TXN10293,Vendor_016,5456.06,2025-01-12
TXN10782,Vendor_039,2963.89,2025-09-07
TXN20009,Vendor_061,60950.0,2025-03-29
TXN10005,Vendor_044,1333.58,2025-07-27
TXN10197,Vendor_005,2208.0,2025-10-20
TXN10790,Vendor_036,3160.56,2025-03-23
TXN10392,Vendor_029,324.96,2025-02-11
TXN10543,Vendor_039,11778.6,2025-10-22
TXN10788,Vendor_020,1650.42,2025-05-26
TXN10631,Vendor_038,13205.85,2025-08-08
TXN10865,Vendor_039,1092.24,2025-04-02
TXN10510,Vendor_060,2569.83,2025-03-01
TXN10122,Vendor_057,11199.59,2025-03-05
TXN10378,Vendor_013,31155.43,2025-08-01
TXN10038,Vendor_040,321.62,2025-08-30
TXN10546,Vendor_006,3828.37,2025-10-24
TXN10523,Vendor_045,3796.29,2025-06-10
TXN10162,Vendor_047,8153.27,2025-08-20
TXN10067,Vendor_058,6664.78,2025-05-27
TXN10124,Vendor_057,3877.38,2025-04-17
TXN10004,Vendor_018,1333.55,2025-09-28
TXN10834,Vendor_010,1728.33,2025-05-06
TXN10759,Vendor_038,4493.57,2025-02-18
TXN10427,Vendor_036,4411.04,2025-03-19
TXN20016,Vendor_065,617400.0,2025-08-23
TXN10553,Vendor_030,2516.81,2025-08-08
TXN10506,Vendor_055,837.05,2025-09-11
TXN20025,Vendor_061,78210.0,2025-04-10
TXN10399,Vendor_048,9037.71,2025-01-29
TXN10802,Vendor_028,2048.69,2025-09-16
TXN10352,Vendor_025,5513.51,2025-05-10
TXN10839,Vendor_004,1368.97,2025-04-23
TXN10848,Vendor_037,789.14,2025-06-19
TXN10260,Vendor_039,541.85,2025-08-29
TXN10333,Vendor_054,749.71,2025-10-16
TXN10153,Vendor_050,2445.32,2025-05-09
TXN10396,Vendor_017,194.99,2025-04-30
TXN10501,Vendor_017,21638.76,2025-04-29
TXN10373,Vendor_055,6292.11,2025-03-03
TXN10312,Vendor_027,5287.19,2025-09-06
TXN10042,Vendor_052,1555.66,2025-06-03
TXN10758,Vendor_013,592.37,2025-07-08
TXN10522,Vendor_047,764.02,2025-04-28
TXN10650,Vendor_028,20003.11,2025-09-22
TXN10846,Vendor_015,2633.11,2025-09-02
TXN10623,Vendor_009,10394.65,2025-02-16
TXN10682,Vendor_036,914.27,2025-02-08
TXN10634,Vendor_043,485.06,2025-04-11
TXN10750,Vendor_018,544.46,2025-03-02
TXN10755,Vendor_035,55386.81,2025-05-22
TXN10780,Vendor_012,2277.9,2025-08-28
TXN10590,Vendor_002,1984.33,2025-01-22
TXN10445,Vendor_051,4318.12,2025-06-23
TXN10272,Vendor_013,8201.83,2025-02-18
TXN10877,Vendor_017,2418.55,2025-04-11
TXN10519,Vendor_033,4802.07,2025-05-26
TXN10377,Vendor_023,2294.67,2025-03-06
TXN10498,Vendor_038,579.23,2025-09-17
TXN10878,Vendor_036,1769.85,2025-05-27
